,_id,FIRST,LAST,ADDRESS,CITY,STATE,ZIP,LASTSENDDATE,LASTREPLY,RESPONSECATEGORY
7027,62fa919b39fe7a3ec97422aa,Candy,Strickland,5290 2nd Cv,Douglasville, GA,30134.0,2019-10-10 13:31:46+00:00,2020-09-01 19:41:00,DONOTCONTACT
70519,62fa919b39fe7a3ec9751aae,Scott,Grant,7174 Sleepy Blvd,Lewis Center, OH,43035.0,2020-07-25 20:18:00+00:00,2020-09-01 19:50:26,UNSURE
94032,62fa919b39fe7a3ec9757687,Rene,Snell,9154 S  Ave,Westport, CT,6880.0,2019-12-20 10:36:54+00:00,2020-09-01 20:05:36,UNSURE
38515,62fa919b39fe7a3ec9749daa,Marion,Moody,9082 S Pratt Cv,Phillipsburg, NJ,8865.0,2020-06-08 12:50:49+00:00,2020-09-01 20:36:01,DONOTCONTACT
13710,62fa919b39fe7a3ec9743cc5,Robyn,Compton,8628 N Eighth Cv,Hixson, TN,37343.0,2020-04-04 20:00:06+00:00,2020-09-01 20:59:57,UNSURE
42349,62fa919b39fe7a3ec974aca4,Jordan,Benton,3072 Main St,Madison, AL,35758.0,2020-01-01 05:55:04+00:00,2020-09-01 21:38:44,UNSURE
29611,62fa919b39fe7a3ec9747ae2,Irene,Stewart,1133 W Sharp Blvd,Mechanicsville, VA,23111.0,2019-11-21 18:17:45+00:00,2020-09-01 22:08:32,UNSURE
80262,62fa919b39fe7a3ec97540bd,Juan,Harvey,8212 E Shelby Ln,Madisonville, KY,42431.0,2020-02-05 11:04:14+00:00,2020-09-01 22:33:19,DONOTCONTACT
223,62fa919b39fe7a3ec9740816,Shane,Rowe,4990 N Oak Blvd,Ottawa, IL,61350.0,2020-07-21 13:52:23+00:00,2020-09-01 23:29:00,UNSURE
30343,62fa919b39fe7a3ec9747dbe,Terry,Bowers,1609 S Third St,Paterson, NJ,7501.0,2020-08-29 17:22:21+00:00,2020-09-02 00:49:25,DONOTCONTACT
1659,62fa919b39fe7a3ec9740db2,Yvette,Strickland,4336 8th Dr,Arvada, CO,80003.0,2019-07-21 23:31:31+00:00,2020-09-02 01:26:54,DONOTCONTACT
96677,62fa919b39fe7a3ec97580dc,Cristina,Compton,3764 W 47th Ave,Westport, CT,6880.0,2020-05-23 09:12:35+00:00,2020-09-02 01:35:20,DONOTCONTACT
66128,62fa919b39fe7a3ec9750987,Deborah,Robbins,3605 Samuel Ln,Richardson, TX,75080.0,2019-11-09 01:47:32+00:00,2020-09-02 02:36:58,UNSURE
41485,62fa919b39fe7a3ec974a944,Jordan,Hinton,6429 Fourth Ave,Seattle, WA,98144.0,2019-05-24 03:05:40+00:00,2020-09-02 03:32:34,DONOTCONTACT
17744,62fa919b39fe7a3ec9744c87,Lois,Ball,2486 Purchase Ln,Anaheim, CA,92806.0,2019-03-25 06:43:51+00:00,2020-09-02 04:09:45,UNSURE
62893,62fa919b39fe7a3ec974fce4,Cecelia,Snell,2626 Purchase Dr,Stillwater, MN,55082.0,2019-10-29 10:45:21+00:00,2020-09-02 05:01:01,DONOTCONTACT
69309,62fa919b39fe7a3ec97515f4,Jessica,French,3286 8th Cv,West Palm Beach, FL,33404.0,2019-07-24 13:51:26+00:00,2020-09-02 05:47:34,UNSURE
8360,62fa919b39fe7a3ec97427df,Juan,Phillips,648 E Oak Ave,New Albany, IN,47150.0,2019-02-17 01:23:49+00:00,2020-09-02 05:55:40,NEGATIVE
92748,62fa919b39fe7a3ec9757183,Ernest,Lake,5750 Fourth Dr,Camas, WA,98607.0,2019-02-23 06:38:21+00:00,2020-09-02 06:26:20,UNSURE
54575,62fa919b39fe7a3ec974dc66,Yvette,Snell,2183 Oak St,Mahwah, NJ,7430.0,2019-01-20 18:39:09+00:00,2020-09-02 06:35:08,UNSURE
33760,62fa919b39fe7a3ec9748b17,Herman,Wade,6043 W Ethel Blvd,Madisonville, KY,42431.0,2019-11-23 14:41:10+00:00,2020-09-02 06:51:05,DONOTCONTACT
32817,62fa919b39fe7a3ec9748768,Dianna,Hutchinson,6653 S Daniel St,North Attleboro, MA,2760.0,2019-08-09 23:41:07+00:00,2020-09-02 08:18:08,UNSURE
2524,62fa919b39fe7a3ec9741113,Dora,Jacobs,822 47th Blvd,Elizabeth City, NC,27909.0,2020-08-22 05:23:21+00:00,2020-09-02 08:19:48,DONOTCONTACT
71503,62fa919b39fe7a3ec9751e86,,Craig,6556 Samuel Dr,Jamaica, NY,11432.0,2019-05-30 09:14:44+00:00,2020-09-02 08:27:50,UNSURE
11143,62fa919b39fe7a3ec97432be,Shane,Hinton,8882 Daniel Blvd,Madison, AL,35758.0,2019-05-01 05:41:33+00:00,2020-09-02 09:45:14,UNSURE
34330,62fa919b39fe7a3ec9748d51,Mayra,Strickland,3750 N Riverside Blvd,Gastonia, NC,28052.0,2019-04-08 09:14:41+00:00,2020-09-02 10:00:27,DONOTCONTACT
20425,62fa919b39fe7a3ec9745700,Caroline,Morton,6537 1st Ave,Westmont, IL,60559.0,2019-05-10 23:36:25+00:00,2020-09-02 11:03:59,DONOTCONTACT
63926,62fa919b39fe7a3ec97500ed,Todd,Guthrie,7183 E Lois Dr,Douglasville, GA,30134.0,2020-07-09 01:33:56+00:00,2020-09-02 11:27:32,NEGATIVE
841,62fa919b39fe7a3ec9740a80,Susana,Proctor,3216 Purchase Blvd,Douglasville, GA,30134.0,2020-05-11 21:26:36+00:00,2020-09-02 11:34:40,UNSURE
81912,62fa919b39fe7a3ec975472f,Sara,Phillips,513 W Second Rd,Quakertown, PA,18951.0,2019-12-03 05:57:47+00:00,2020-09-02 15:15:54,NEGATIVE
75773,62fa919b39fe7a3ec9752f34,Dianna,Ayers,2886 S Glenn Dr,North Attleboro, MA,2760.0,2019-07-28 22:22:39+00:00,2020-09-02 15:49:15,NEGATIVE
58428,62fa919b39fe7a3ec974eb73,Maria,Dwyer,4305 Glen Cv,North Attleboro, MA,2760.0,2019-11-11 08:20:15+00:00,2020-09-02 16:25:28,DONOTCONTACT
88269,62fa919b39fe7a3ec9756004,Raymond,Harvey,5974 2nd Ln,Mchenry, IL,60050.0,2020-08-21 07:55:42+00:00,2020-09-02 16:30:25,DONOTCONTACT
18586,62fa919b39fe7a3ec9744fd1,Hope,Wade,190 N Burbank St,Madisonville, KY,42431.0,2020-02-19 01:33:58+00:00,2020-09-02 16:50:21,NEGATIVE
9841,62fa919b39fe7a3ec9742da8,Verna,Hutchinson,7201 Sunny Blvd,Pearl, MS,39208.0,2019-01-18 09:14:41+00:00,2020-09-02 17:42:21,NEGATIVE
5698,62fa919b39fe7a3ec9741d79,Shane,Moody,8148 Daniel Cv,Camas, WA,98607.0,2019-02-19 10:01:29+00:00,2020-09-02 18:06:47,NEGATIVE
82723,62fa919b39fe7a3ec9754a5a,Cecilia,Schneider,3964 Daniel Rd,North Attleboro, MA,2760.0,2019-06-22 20:05:13+00:00,2020-09-02 18:32:33,DONOTCONTACT
84231,62fa919b39fe7a3ec975503e,Krystal,,7381 Glenn Cv,Melbourne, FL,32904.0,2020-05-15 19:59:24+00:00,2020-09-02 19:29:36,NEGATIVE
68049,62fa919b39fe7a3ec9751108,Clarence,Stewart,9022 N Pine Blvd,Ottawa, IL,61350.0,2019-03-14 09:47:03+00:00,2020-09-02 21:09:38,DONOTCONTACT
45979,62fa919b39fe7a3ec974bad2,Samuel,Strickland,706 Third Ave,Stillwater, MN,55082.0,2019-03-04 22:28:04+00:00,2020-09-02 21:34:00,DONOTCONTACT
98093,62fa919b39fe7a3ec9758664,Rene,Ayers,6907 Fourth Cv,Kalamazoo, MI,49009.0,2019-06-19 19:52:46+00:00,2020-09-02 21:39:33,UNSURE
62884,62fa919b39fe7a3ec974fcdb,Rich,Craig,9268 Purchase Ave,Patchogue, NY,11772.0,2020-05-21 15:13:49+00:00,2020-09-02 22:05:03,UNSURE
17371,62fa919b39fe7a3ec9744b12,Hope,Pollard,9740 Poplar Dr,Paterson, NJ,7501.0,2020-08-15 10:53:20+00:00,2020-09-02 23:16:18,NEGATIVE
48374,62fa919b39fe7a3ec974c42d,Caroline,Sheppard,503 W Glen Blvd,Enfield, CT,6082.0,2019-05-27 14:15:30+00:00,2020-09-02 23:24:40,UNSURE
48830,62fa919b39fe7a3ec974c5f5,Dianna,,7282 5th Blvd,Hartford, CT,6106.0,2019-04-29 16:34:34+00:00,2020-09-02 23:30:39,UNSURE
72005,62fa919b39fe7a3ec975207c,Juan,Suarez,6192 Oak Ln,Mchenry, IL,60050.0,2019-11-16 19:59:40+00:00,2020-09-02 23:51:09,DONOTCONTACT
43037,62fa919b39fe7a3ec974af54,Cecilia,Schneider,1992 Glenn Cv,Patchogue, NY,11772.0,2019-10-16 11:45:39+00:00,2020-09-03 00:20:08,UNSURE
9209,62fa919b39fe7a3ec9742b30,Christi,Church,5820 Cherry Cv,Miami Gardens, FL,33056.0,2020-06-03 20:01:30+00:00,2020-09-03 00:38:35,NEGATIVE
7717,62fa919b39fe7a3ec974255c,Samuel,Case,1872 12th Ln,Delaware, OH,43015.0,2020-08-01 21:59:25+00:00,2020-09-03 00:44:17,UNSURE
1389,62fa919b39fe7a3ec9740ca4,Rene,Cahill,7238 S Glenn Blvd,Schenectady, NY,12302.0,2020-03-01 13:06:29+00:00,2020-09-03 01:07:24,NEGATIVE
73830,62fa919b39fe7a3ec975279d,,Strickland,2836 Martin Luther King Blvd,North Attleboro, MA,2760.0,2019-03-22 17:09:24+00:00,2020-09-03 01:27:06,DONOTCONTACT
14714,62fa919b39fe7a3ec97440b1,Yvette,Grant,6468 N Daniel Ave,New Albany, IN,47150.0,2019-10-25 16:06:01+00:00,2020-09-03 02:20:35,DONOTCONTACT
80839,62fa919b39fe7a3ec97542fe,Darla,Case,8503 N  Ave,West Palm Beach, FL,33404.0,2019-04-20 04:33:30+00:00,2020-09-03 02:45:10,NEGATIVE
54712,62fa919b39fe7a3ec974dcef,Scott,Suarez,2283 E Faith Cv,Oshkosh, WI,54901.0,2019-11-22 06:59:22+00:00,2020-09-03 02:52:52,UNSURE
42630,62fa919b39fe7a3ec974adbd,Robyn,Bowers,1237 Purchase Blvd,Elizabeth City, NC,27909.0,2020-06-04 22:51:45+00:00,2020-09-03 03:17:15,DONOTCONTACT
36342,62fa919b39fe7a3ec974952d,Jan,French,7871 Ethel Dr,Pearl, MS,39208.0,2019-09-13 17:16:56+00:00,2020-09-03 03:29:49,UNSURE
13774,62fa919b39fe7a3ec9743d05,Jan,Morton,4596 8th Ave,Kalamazoo, MI,49009.0,2019-04-14 15:50:58+00:00,2020-09-03 03:34:07,UNSURE
14302,62fa919b39fe7a3ec9743f15,Chris,Moody,9211 E Ethel Ave,Seattle, WA,98144.0,2020-07-09 21:43:00+00:00,2020-09-03 04:40:22,DONOTCONTACT
54744,62fa919b39fe7a3ec974dd0f,Cecilia,Rowe,9920 2nd Rd,Enfield, CT,6082.0,2020-01-16 16:32:43+00:00,2020-09-03 04:42:13,UNSURE
81896,62fa919b39fe7a3ec975471f,Shane,Bowers,8260 Martin Luther King Ave,Gastonia, NC,28052.0,2020-03-18 21:40:16+00:00,2020-09-03 05:09:10,NEGATIVE
21378,62fa919b39fe7a3ec9745ab9,Rene,Grant,3014  St,Moorhead, MN,56560.0,2019-04-18 11:25:26+00:00,2020-09-03 05:18:25,NEGATIVE
94601,62fa919b39fe7a3ec97578c0,Verna,Roberts,8967 S Second Rd,Elizabeth City, NC,27909.0,2020-04-04 12:10:35+00:00,2020-09-03 06:03:05,DONOTCONTACT
16647,62fa919b39fe7a3ec974483e,Rene,Rowe,5312 W 2nd Rd,Paterson, NJ,7501.0,2020-08-14 20:30:55+00:00,2020-09-03 06:24:55,DONOTCONTACT
40347,62fa919b39fe7a3ec974a4d2,Leanne,Case,1464 Poplar Ave,Clearwater, FL,33756.0,2019-10-03 09:16:23+00:00,2020-09-03 07:00:12,UNSURE
62345,62fa919b39fe7a3ec974fac0,Scott,Morton,414 6th Ln,Jamaica, NY,11432.0,2019-10-03 03:45:29+00:00,2020-09-03 07:16:25,UNSURE
86933,62fa919b39fe7a3ec9755acc,Calvin,Powers,5601 Ethel Blvd,Pearl, MS,39208.0,2019-05-01 14:41:28+00:00,2020-09-03 07:45:07,UNSURE
60357,62fa919b39fe7a3ec974f2fc,Cristina,Lake,6979 Glendale Blvd,Anaheim, CA,92806.0,2019-10-27 15:38:00+00:00,2020-09-03 08:30:32,NEGATIVE
11061,62fa919b39fe7a3ec974326c,Calvin,Lake,7626 4th Rd,Conyers, GA,30012.0,2020-02-21 02:47:18+00:00,2020-09-03 10:11:54,DONOTCONTACT
99211,62fa919b39fe7a3ec9758ac2,Jamie,Roberts,7492 S 4th Cv,Patchogue, NY,11772.0,2019-12-15 03:34:58+00:00,2020-09-03 11:17:48,NEGATIVE
30434,62fa919b39fe7a3ec9747e19,Krystal,Dwyer,8976 Sharp Ln,Gastonia, NC,28052.0,2020-03-14 03:31:00+00:00,2020-09-03 12:35:53,UNSURE
16865,62fa919b39fe7a3ec9744918,Rolando,Hinton,6046 N Samuel Ln,Garfield, NJ,7026.0,2020-04-01 18:13:28+00:00,2020-09-03 12:43:06,UNSURE
69127,62fa919b39fe7a3ec975153e,Dianna,Guthrie,9573 5th Cv,Westmont, IL,60559.0,2019-08-23 23:23:05+00:00,2020-09-03 12:54:55,DONOTCONTACT
57438,62fa919b39fe7a3ec974e795,Deborah,Phillips,957 Ethel Dr,Seattle, WA,98144.0,2020-05-28 15:56:00+00:00,2020-09-03 12:55:15,DONOTCONTACT
94610,62fa919b39fe7a3ec97578c9,Juan,Proctor,1139 Peter Rd,Moorhead, MN,56560.0,2019-01-12 03:12:09+00:00,2020-09-03 13:01:29,DONOTCONTACT
37924,62fa919b39fe7a3ec9749b5b,Ingrid,Conley,2452 Third Dr,Seymour, IN,47274.0,2019-06-10 13:42:38+00:00,2020-09-03 13:21:21,UNSURE
33490,62fa919b39fe7a3ec9748a09,Rene,Benton,7488 W Peter Ln,Madisonville, KY,42431.0,2019-02-16 00:55:08+00:00,2020-09-03 14:16:30,UNSURE
57012,62fa919b39fe7a3ec974e5eb,Scott,Ball,168 Samuel Rd,Ottawa, IL,61350.0,2019-05-03 04:59:02+00:00,2020-09-03 14:17:21,DONOTCONTACT
1819,62fa919b39fe7a3ec9740e52,Calvin,Conley,8589 W Riverside Rd,Marion, NC,28752.0,2020-01-02 18:53:48+00:00,2020-09-03 15:02:11,NEGATIVE
38338,62fa919b39fe7a3ec9749cf9,Cristina,French,8276 Fourth Dr,Garfield, NJ,7026.0,2020-02-24 11:04:49+00:00,2020-09-03 15:55:53,UNSURE
59764,62fa919b39fe7a3ec974f0ab,Jan,Kramer,658 4th Ln,Gastonia, NC,28052.0,2019-08-11 11:52:04+00:00,2020-09-03 16:00:17,DONOTCONTACT
88024,62fa919b39fe7a3ec9755f0f,Herman,French,4128 Oak Cv,Marion, NC,28752.0,2019-11-18 07:51:52+00:00,2020-09-03 16:25:02,NEGATIVE
69081,62fa919b39fe7a3ec9751510,Rene,Craig,7175 Pratt Dr,Hixson, TN,37343.0,2019-02-08 12:04:41+00:00,2020-09-03 16:39:14,UNSURE
80189,62fa919b39fe7a3ec9754074,Dena,Church,76 4th Ln,Ottawa, IL,61350.0,2020-06-15 15:00:43+00:00,2020-09-03 17:26:10,DONOTCONTACT
52370,62fa919b39fe7a3ec974d3c9,Dianna,Church,6727 Eighth Ave,Gastonia, NC,28052.0,2019-07-04 02:26:10+00:00,2020-09-03 18:10:11,UNSURE
82249,62fa919b39fe7a3ec9754880,Mayra,Ball,2295 W Olsonvill St,Conyers, GA,30012.0,2020-02-28 00:41:59+00:00,2020-09-03 18:46:52,DONOTCONTACT
31488,62fa919b39fe7a3ec9748237,Dianna,Farrell,1994 Peter Rd,Pearl, MS,39208.0,2020-04-16 06:29:41+00:00,2020-09-03 20:13:37,NEGATIVE
24218,62fa919b39fe7a3ec97465d1,Jamie,Phillips,9384 Glen Cv,Madison, AL,35758.0,2019-05-25 06:42:18+00:00,2020-09-03 20:23:27,NEGATIVE
31647,62fa919b39fe7a3ec97482d6,Kristina,Guthrie,6645 S 2nd Cv,Gastonia, NC,28052.0,2020-04-17 12:31:48+00:00,2020-09-03 20:31:06,NEGATIVE
31563,62fa919b39fe7a3ec9748282,,Dwyer,2260 E Mount Pleasant Cv,Anaheim, CA,92806.0,2020-01-07 15:53:35+00:00,2020-09-03 20:35:50,DONOTCONTACT
99624,62fa919b39fe7a3ec9758c5f,Todd,Ball,1780 Elm Blvd,Lewis Center, OH,43035.0,2019-10-13 02:09:44+00:00,2020-09-03 20:37:19,UNSURE
12579,62fa919b39fe7a3ec974385a,Deborah,Morton,6433 Sharp Cv,Hixson, TN,37343.0,2020-05-16 20:31:10+00:00,2020-09-03 20:44:00,UNSURE
53507,62fa919b39fe7a3ec974d83a,Leanne,Ayers,3144 6th Blvd,Richardson, TX,75080.0,2019-02-19 05:11:17+00:00,2020-09-03 21:03:52,DONOTCONTACT
57919,62fa919b39fe7a3ec974e976,Clarence,Guthrie,1992 S Samuel Rd,Garfield, NJ,7026.0,2020-02-10 14:42:08+00:00,2020-09-03 21:54:59,UNSURE
59333,62fa919b39fe7a3ec974eefc,Juana,Morton,5686 Burbank Blvd,Elizabeth City, NC,27909.0,2020-08-21 19:53:24+00:00,2020-09-03 22:30:32,NEGATIVE
22392,62fa919b39fe7a3ec9745eaf,Jamie,Moody,7935 Pratt Ln,Schenectady, NY,12302.0,2019-12-06 00:42:28+00:00,2020-09-03 22:39:50,NEGATIVE
74094,62fa919b39fe7a3ec97528a5,Darla,Cahill,1566 Seaside Ln,North Attleboro, MA,2760.0,2019-06-10 02:19:03+00:00,2020-09-03 23:17:18,NEGATIVE
35045,62fa919b39fe7a3ec974901c,Shane,Guthrie,4047 1st Dr,Quakertown, PA,18951.0,2020-01-21 17:28:29+00:00,2020-09-03 23:18:05,NEGATIVE
8504,62fa919b39fe7a3ec974286f,Michele,Strickland,8920 Burbank Ave,Delaware, OH,43015.0,2020-07-28 07:41:41+00:00,2020-09-03 23:22:08,DONOTCONTACT
88646,62fa919b39fe7a3ec975617d,Leanne,Andrade,6596 Fourth Cv,Mchenry, IL,60050.0,2020-04-21 21:17:55+00:00,2020-09-03 23:52:19,NEGATIVE
75443,62fa919b39fe7a3ec9752dea,Dena,Cassidy,24 Shelby Ln,Olive Branch, MS,38654.0,2020-04-07 16:22:53+00:00,2020-09-04 00:43:05,NEGATIVE
63869,62fa919b39fe7a3ec97500b4,Krystal,Suarez,1468 8th Ln,Clearwater, FL,33756.0,2019-10-30 18:24:16+00:00,2020-09-04 01:37:38,NEGATIVE
46143,62fa919b39fe7a3ec974bb76,,Dwyer,1214 Olsonvill Ln,Mechanicsville, VA,23111.0,2019-04-05 17:02:47+00:00,2020-09-04 03:32:23,UNSURE
19837,62fa919b39fe7a3ec97454b4,Jessica,Bassett,5940 N 1st Ave,Clearwater, FL,33756.0,2019-04-28 22:15:24+00:00,2020-09-04 04:50:41,NEGATIVE
43389,62fa919b39fe7a3ec974b0b4,Chris,Phillips,1204 1st Cv,Ottawa, IL,61350.0,2019-02-02 02:16:34+00:00,2020-09-04 05:23:02,NEGATIVE
63866,62fa919b39fe7a3ec97500b1,Rene,Compton,1697 Fourth Cv,Olive Branch, MS,38654.0,2020-04-03 00:14:33+00:00,2020-09-04 05:52:23,UNSURE
86029,62fa919b39fe7a3ec9755744,Sara,Alexander,4751 6th Ave,Anaheim, CA,92806.0,2019-01-23 05:46:46+00:00,2020-09-04 06:36:54,NEGATIVE
58446,62fa919b39fe7a3ec974eb85,Jamie,Cahill,375 S 47th St,Mechanicsville, VA,23111.0,2020-08-04 20:45:22+00:00,2020-09-04 07:43:14,NEGATIVE
64608,62fa919b39fe7a3ec9750397,Shane,Moody,1885 Eighth Dr,Westport, CT,6880.0,2019-10-30 04:36:45+00:00,2020-09-04 09:56:04,UNSURE
14982,62fa919b39fe7a3ec97441bd,Yvette,Ball,5139 N Peter Rd,Kalamazoo, MI,49009.0,2020-03-07 18:36:54+00:00,2020-09-04 10:45:38,DONOTCONTACT
14489,62fa919b39fe7a3ec9743fd0,Ingrid,,1805 W Faith Blvd,Kalamazoo, MI,49009.0,2020-03-19 00:40:28+00:00,2020-09-04 11:40:27,NEGATIVE
60000,62fa919b39fe7a3ec974f197,Cecelia,Dwyer,7941 8th Dr,Phillipsburg, NJ,8865.0,2020-06-23 09:08:52+00:00,2020-09-04 12:08:15,DONOTCONTACT
16789,62fa919b39fe7a3ec97448cc,Deborah,Donovan,2106 S 8th Dr,Mechanicsville, VA,23111.0,2019-10-15 08:57:02+00:00,2020-09-04 13:03:42,NEGATIVE
28178,62fa919b39fe7a3ec9747549,,Dwyer,2172 Olsonvill Dr,Douglasville, GA,30134.0,2019-06-13 20:33:03+00:00,2020-09-04 13:09:14,UNSURE
1412,62fa919b39fe7a3ec9740cbb,Young,Moody,7690 E 2nd Blvd,Richardson, TX,75080.0,2020-04-19 08:35:22+00:00,2020-09-04 13:35:12,NEGATIVE
98017,62fa919b39fe7a3ec9758618,Herman,Stewart,2808 Fourth St,Hixson, TN,37343.0,2020-03-14 09:06:24+00:00,2020-09-04 13:49:13,UNSURE
5705,62fa919b39fe7a3ec9741d80,Deborah,Morton,4602 S Poplar Rd,New Philadelphia, OH,44663.0,2019-09-12 08:16:29+00:00,2020-09-04 13:51:01,NEGATIVE
44373,62fa919b39fe7a3ec974b48c,Dora,Grant,7865 Eighth Rd,Lewis Center, OH,43035.0,2019-04-22 14:38:55+00:00,2020-09-04 14:16:04,NEGATIVE
